id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename,classification,direction,xml_earliest,xml_latest,date_structure,exact_order_needs_review,xml_path,xml_sha256
DCP-LETT-1147,Malcolmson,J. G.,Darwin,C. R.,1840-01-02,2 Jan 1840,Forres,,"DAR 171: 31; Geological Society of London (Membership certificates, 1840)",,,DCP-LETT-1147.xml,safe_within_period,to_darwin,1840-01-02,1840-01-02,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-1147.xml,97e12376cf4ff9ba6945d0fa9bb78ee06c579e8311892765316904030fa13277
DCP-LETT-549,Darwin,C. R.,Eyton,T. C.,1840-01-06,[6 Jan 1840],"London, Upper Gower St, 12",,American Philosophical Society (Mss.B.D25.20),,,DCP-LETT-549.xml,safe_within_period,from_darwin,1840-01-06,1840-01-06,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-549.xml,999e0c524854866299eba309b8a67cb6d827cfb36223ed4305d58fc999e8e72b
DCP-LETT-550,Darwin,C. R.,Hall,Basil,1840-01-07,[7 Jan 1840],"London, Upper Gower St, 12",,American Philosophical Society (Mss.B.D25.),,,DCP-LETT-550.xml,safe_within_period,from_darwin,1840-01-07,1840-01-07,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-550.xml,978d8b1860bc848afffa49185fb9e6bcd671bb706fb448f2482ca9317997dd04
DCP-LETT-550A,Darwin,C. R.,Spearman,A. Y.,1840-01-16,16 Jan 1840,"London, Upper Gower St, 12",,The National Archives (TNA) (T1/4524 paper 25824),,,DCP-LETT-550A.xml,safe_within_period,from_darwin,1840-01-16,1840-01-16,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-550A.xml,5d2ebf620a4c2c6c00411c8685f3a39f6a3f67f62d6b78c0d4ad1e01414e8c12
DCP-LETT-551,Darwin,C. R.,Geological Society of London,,1840-01-22,22 Jan 1840,"London, Upper Gower St, 12",,Geological Society of London (GSL/COM/P/4/2/38),,,DCP-LETT-551.xml,safe_within_period,from_darwin,1840-01-22,1840-01-22,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-551.xml,1254c9acebd67308eea634b4aa943974f66013f6b82f1043535785fd50bf3569
DCP-LETT-552,Darwin,C. R.,Henslow,J. S.,1840-01-24,[24 Jan 1840],"London, Upper Gower St, 12",,DAR 93: A3–4,,,DCP-LETT-552.xml,safe_within_period,from_darwin,1840-01-24,1840-01-24,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-552.xml,65b05ee0a7fcdd5246749644eea220af4f3c2a1b3d583504619981803db0794e
DCP-LETT-553,Darwin,C. R.,"Smith, Elder & Co",,1840-02-06,[6 Feb 1840],"London, Upper Gower St, 12",,American Philosophical Society (Mss.B.D25.),,,DCP-LETT-553.xml,safe_within_period,from_darwin,1840-02-06,1840-02-06,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-553.xml,e138942975fbb0b71a7dc476f96da258241d944d2b830b06aec70e0669a91e25
DCP-LETT-554,Darwin,C. R.,Lyell,Charles,1840-02-19,[19 Feb 1840],"London, Upper Gower St, 12",,American Philosophical Society (Mss.B.D25.21),,,DCP-LETT-554.xml,safe_within_period,from_darwin,1840-02-19,1840-02-19,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-554.xml,e05ac00ab2feead5391dd6fb6c43271e64b473be53175a1129dbb92e7b86c1f4
DCP-LETT-555,Darwin,C. R.,FitzRoy,Robert,1840-02-20,[20 Feb 1840],"London, Upper Gower St, 12",,DAR 144: 117,,,DCP-LETT-555.xml,safe_within_period,from_darwin,1840-02-20,1840-02-20,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-555.xml,fe5cb11902acde54a613f5f192eb113da5c0f3d7c5ef0ffcc886214a1f803419
DCP-LETT-560,Darwin,C. R.,Milne Home,David,1840-02-20,20 [Feb 1840],"London, Upper Gower St, 12",,"University of Illinois at Urbana-Champaign, Rare Book and Manuscript Library (Charles E. Mudie Collection, 1816–1897: Correspondence Post-1650 MS 0112)",,,DCP-LETT-560.xml,safe_within_period,from_darwin,1840-02-20,1840-02-20,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-560.xml,da9f175151601dc8a7f934cb9e592ecf6419673d7507548652afc27320968d55
DCP-LETT-556,Darwin,C. R.,Redfield,W. C.,1840-02-24,24 Feb [1840],"London, Upper Gower St, 12",,Yale University: Beinecke Rare Book and Manuscript Library (Letters to William C. Redfield vol. 2 Scientific 1831-41 (z117 00151 2) pp. 335–8),,,DCP-LETT-556.xml,safe_within_period,from_darwin,1840-02-24,1840-02-24,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-556.xml,a96200f624c05f761c12203988b8aefb5ce08be735784f2805f1952f12dc3967
DCP-LETT-557,Darwin,C. R.,Owen,Richard,1840-02-24,24 [Feb 1840],"London, Upper Gower St, 12",,The Royal College of Surgeons of England (MS0025/1/5/11),,,DCP-LETT-557.xml,safe_within_period,from_darwin,1840-02-24,1840-02-24,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-557.xml,8fb53778740bb4219a2cfe3991c96b3dbcab3f44e46c9ce28e80dbbd837ac1b0
DCP-LETT-557F,Darwin,C. R.,Silliman,"Benjamin, Sr",1840-02-26,26 Feb 1840,,,Gallery of History (dealers) (4 December 1996),,,DCP-LETT-557F.xml,safe_within_period,from_darwin,1840-02-26,1840-02-26,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-557F.xml,f7351a8d91c47bc5ce207a07f87c52e4f70912baf2c9cb82f6a3837d8bd096c9
DCP-LETT-558,Darwin,C. R.,Jenyns,Leonard,1840-02-27,[27 Feb 1840],"London, Upper Gower St, 12",,Bath Royal Literary and Scientific Institution,,,DCP-LETT-558.xml,safe_within_period,from_darwin,1840-02-27,1840-02-27,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-558.xml,2200a7524bdd83b7bd1f4111877afedd6d8345b5853786f4cf9021ff2c5fcb87
DCP-LETT-559F,Darwin,C. R.,Owen,Richard,1840-03-01,[Mar? 1840],"London, Upper Gower St, 12",,"Christie’s, New York (dealers) (29 October 1993)",,,DCP-LETT-559F.xml,safe_within_period,from_darwin,1840-03-01,1840-03-31,bounded_range,True,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-559F.xml,f60bd264a5c5a3e382d247d5d9a81cd9bf4f5d9ad8c4432d974a3b2e800bfdff
DCP-LETT-558F,Darwin,C. R.,Hall,Basil,1840-03-15,15 Mar 1840,"12 Upper Gower Street, London",,"Musée royal de Mariemont, Belgium (Aut. 1061/1)",,,DCP-LETT-558F.xml,safe_within_period,from_darwin,1840-03-15,1840-03-15,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-558F.xml,704061457cbf81bfe17f42ff52fb6f2a99e9531763165b8c47ccabad1836b225
DCP-LETT-561,Darwin,C. R.,Geological Society of London,,1840-03-24,24 Mar 1840,"London, Upper Gower St, 12",,Geological Society of London (GSL/L/R/5/8 ),,,DCP-LETT-561.xml,safe_within_period,from_darwin,1840-03-24,1840-03-24,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-561.xml,2a245dce0b8441051c8b65da463b72e41148ed2aa8e42a9795b684027f40b73a
DCP-LETT-562,Darwin,C. R.,Geological Society of London,,1840-03-28,28 Mar [1840],"London, Upper Gower St, 12",,Geological Society of London (GSL/L/R/5/56),,,DCP-LETT-562.xml,safe_within_period,from_darwin,1840-03-28,1840-03-28,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-562.xml,f5573ed23d2770938e70ea949b11d8dd166292741f76fab9253039704a8c0352
DCP-LETT-562F,Milne Home,David,Darwin,C. R.,1840-03-28,28 Mar 1840,"Edinburgh, York Place, 10",,"Milne Home 1891, pp. 69–72; Milne Home 1891, pp. 69–72",,,DCP-LETT-562F.xml,safe_within_period,to_darwin,1840-03-28,1840-03-28,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-562F.xml,82d3688dd0aeea347d73e322bb5b78acc1a386ab1a2afff245b8bf72db29dec9
DCP-LETT-563,Darwin,C. R.,Jenyns,Leonard,1840-04-05,5 Apr [1840],Shrewsbury,,Bath Royal Literary and Scientific Institution,,,DCP-LETT-563.xml,safe_within_period,from_darwin,1840-04-05,1840-04-05,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-563.xml,58c33119d229c2180c09da15e6888af472a7ed1bc67d34c6351660a0c7e7e916
DCP-LETT-564,Darwin,C. R.,Wedgwood,Emma,1840-04-05,[5 Apr 1840],Shrewsbury,,DAR 210.8: 5,,,DCP-LETT-564.xml,safe_within_period,from_darwin,1840-04-05,1840-04-05,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-564.xml,bca71932fc8944cf35d4774fbf30d1e25be956d9963afe8acdb3b0e0f9c23cef
DCP-LETT-565,Silliman,"Benjamin, Sr",Darwin,C. R.,1840-04-07,7 Apr 1840,Yale College,,DAR 204: 184,,,DCP-LETT-565.xml,safe_within_period,to_darwin,1840-04-07,1840-04-07,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-565.xml,c66235694620156f8c385a6776981fc1ff7d91a55af083f4600175ff97eb676d
